Year,HI_Adoption_%,HI_HH_with_SHS,HI_Capacity_MW,MI_Adoption_%,MI_HH_with_SHS,MI_Capacity_MW,LI_Adoption_%,LI_HH_with_SHS,LI_Capacity_MW,Total_HH_with_SHS,Total_Residential_Capacity_MW,Total_SSEG_Capacity_MW
2022,4.8400,14783,72.58,2.1800,3240,11.86,0.5100,869,2.47,18892,86.91,108.64
2023,7.2900,22555,110.75,3.2800,4938,18.07,0.6400,1105,3.14,28598,131.96,164.95
2024,10.1018,31661,155.46,4.5435,6928,25.36,0.7826,1369,3.89,39959,184.70,230.88
2025,13.1039,41605,204.28,5.9349,9168,33.55,0.9367,1660,4.71,52432,242.55,303.18
2026,16.0439,51601,253.36,7.3935,11569,42.34,1.1002,1975,5.61,65146,301.32,376.64
2027,18.6575,60788,298.47,8.8393,14012,51.28,1.2704,2310,6.56,77109,356.31,445.39
2028,20.7604,68518,336.42,10.1884,16360,59.88,1.4440,2660,7.55,87538,403.86,504.82
2029,22.3016,74562,366.10,11.3720,18498,67.70,1.6173,3018,8.57,96078,442.37,552.96
2030,23.3457,79067,388.22,12.3502,20351,74.48,1.7864,3377,9.59,102795,472.29,590.37
2031,24.0121,82381,404.49,13.1166,21894,80.13,1.9479,3730,10.59,108006,495.22,619.02
2032,24.4200,84870,416.71,13.6901,23149,84.72,2.0986,4071,11.56,112090,513.00,641.25
2033,24.6631,86829,426.33,14.1041,24159,88.42,2.2364,4395,12.48,115382,527.23,659.04
2034,24.8056,88466,434.37,14.3946,24977,91.42,2.3597,4697,13.34,118140,539.12,673.90
2035,24.8882,89915,441.48,14.5944,25653,93.89,2.4682,4977,14.13,120544,549.50,686.88
2036,24.9359,91258,448.08,14.7299,26228,95.99,2.5619,5233,14.86,122719,558.93,698.66
2037,24.9632,92546,454.40,14.8209,26733,97.84,2.6417,5466,15.52,124745,567.77,709.71
2038,24.9790,93808,460.60,14.8815,27191,99.52,2.7088,5678,16.13,126677,576.24,720.30
2039,24.9880,95062,466.75,14.9218,27619,101.09,2.7645,5870,16.67,128551,584.51,730.64
2040,24.9931,96317,472.92,14.9484,28028,102.58,2.8104,6045,17.17,130390,592.67,740.84
2041,24.9961,97581,479.12,14.9660,28426,104.04,2.8480,6206,17.62,132212,600.78,750.98
2042,24.9977,98856,485.38,14.9776,28818,105.47,2.8784,6354,18.04,134027,608.90,761.12
2043,24.9987,100145,491.71,14.9853,29207,106.90,2.9030,6491,18.43,135843,617.05,771.31
2044,24.9993,101449,498.12,14.9903,29597,108.32,2.9228,6620,18.80,137666,625.24,781.55
2045,24.9996,102769,504.60,14.9936,29988,109.76,2.9386,6743,19.15,139500,633.50,791.88
2046,24.9998,104106,511.16,14.9958,30382,111.20,2.9512,6860,19.48,141348,641.84,802.30
2047,24.9999,105460,517.81,14.9972,30780,112.66,2.9613,6973,19.80,143213,650.27,812.83
2048,24.9999,106831,524.54,14.9982,31182,114.13,2.9694,7082,20.11,145096,658.78,823.48
2049,25.0000,108220,531.36,14.9988,31589,115.62,2.9757,7190,20.42,146999,667.40,834.25
2050,25.0000,109627,538.27,14.9992,32001,117.12,2.9808,7296,20.72,148923,676.11,845.14
