Branch Path,Variable,Scenario,Method,Units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,DIFFERS_FROM_BAU
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Capacity Credit,Updated BAU GHS,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Capacity Credit,Updated LMI GHS,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Capacity Credit,Updated Pro Solar,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Capacity Credit,Updated Utility Protection,Interp,Percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Capital Cost,Updated BAU GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Capital Cost,Updated LMI GHS,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Capital Cost,Updated Pro Solar,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Capital Cost,Updated Utility Protection,Interp,U.S. Dollar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Dispatch Rule,Updated BAU GHS,Interp,None,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Dispatch Rule,Updated LMI GHS,Interp,None,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Dispatch Rule,Updated Pro Solar,Interp,None,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Dispatch Rule,Updated Utility Protection,Interp,None,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Endogenous Capacity,Updated BAU GHS,Interp,Megawatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Endogenous Capacity,Updated LMI GHS,Interp,Megawatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Endogenous Capacity,Updated Pro Solar,Interp,Megawatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Endogenous Capacity,Updated Utility Protection,Interp,Megawatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Transformation\Electricity Generation\Processes\Cape Town IPP Solar,Exogenous Capacity,Updated BAU GHS,Interp,Megawatt,0,0,0,0,0,0,0,29,43,57,71,86,100,110,120,130,140,150,160,170,180,190,200,200,200,200,200,200,200,200,200,200,200,
