Year,HI_Adoption_%,HI_HH_with_SHS,HI_Capacity_MW,MI_Adoption_%,MI_HH_with_SHS,MI_Capacity_MW,LI_Adoption_%,LI_HH_with_SHS,LI_Capacity_MW,Total_HH_with_SHS,Total_Residential_Capacity_MW
2022,4.8400,14975,73.53,2.1800,3282,12.01,0.5100,881,2.50,19137,88.04
2023,7.2900,22555,110.75,3.2800,4938,18.07,0.6400,1105,3.14,28598,131.96
2024,7.2900,22849,112.19,3.2800,5002,18.31,0.6400,1120,3.18,28970,133.67
2025,10.2062,32405,159.11,5.3101,8203,30.02,2.0513,3635,10.32,44242,199.45
2026,13.4791,43352,212.86,7.6300,11940,43.70,3.5554,6383,18.13,61675,274.69
2027,16.8957,55047,270.28,10.1603,16106,58.95,5.1029,9280,26.35,80433,355.58
2028,20.1728,66579,326.90,12.7725,20510,75.07,6.6351,12223,34.71,99312,436.68
2029,23.0384,77025,378.19,15.3082,24901,91.14,8.0924,15101,42.89,117027,512.22
2030,25.3210,85757,421.07,17.6129,29022,106.22,9.4233,17814,50.59,132593,577.88
2031,26.9905,92600,454.66,19.5739,32673,119.58,10.5919,20283,57.60,145556,631.85
2032,28.1279,97757,479.98,21.1420,35749,130.84,11.5808,22465,63.80,155971,674.63
2033,28.8625,101613,498.92,22.3295,38248,139.99,12.3907,24349,69.15,164210,708.06
2034,29.3194,104564,513.41,23.1896,40238,147.27,13.0355,25949,73.69,170750,734.37
2035,29.5967,106925,525.00,23.7913,41818,153.06,13.5370,27297,77.52,176041,755.58
2036,29.7624,108922,534.81,24.2018,43093,157.72,13.9198,28434,80.75,180449,773.28
2037,29.8606,110701,543.54,24.4768,44149,161.59,14.2077,29399,83.49,184250,788.62
2038,29.9183,112358,551.68,24.6588,45056,164.90,14.4217,30230,85.85,187643,802.43
2039,29.9522,113947,559.48,24.7782,45862,167.86,14.5795,30958,87.92,190768,815.26
2040,29.9721,115505,567.13,24.8562,46605,170.57,14.6951,31609,89.77,193719,827.47
2041,29.9837,117052,574.72,24.9068,47307,173.14,14.7793,32204,91.46,196563,839.33
2042,29.9905,118600,582.33,24.9397,47985,175.63,14.8405,32758,93.03,199343,850.98
2043,29.9944,120158,589.98,24.9610,48650,178.06,14.8849,33283,94.52,202091,862.56
2044,29.9967,121729,597.69,24.9748,49310,180.47,14.9170,33788,95.96,204828,874.12
2045,29.9981,123317,605.49,24.9837,49969,182.89,14.9401,34281,97.36,207567,885.73
2046,29.9989,124924,613.38,24.9895,50630,185.31,14.9569,34765,98.73,210319,897.42
2047,29.9994,126550,621.36,24.9932,51296,187.74,14.9689,35245,100.10,213091,909.20
2048,29.9996,128196,629.44,24.9956,51968,190.20,14.9776,35724,101.46,215888,921.10
2049,29.9998,129863,637.63,24.9972,52647,192.69,14.9839,36204,102.82,218714,933.14
2050,29.9999,131552,645.92,24.9982,53333,195.20,14.9884,36686,104.19,221571,945.31
