year,high_hh_shs,high_adoption_pct,high_avoided_gwh,high_tariff_r_kwh,high_revenue_loss_m,middle_hh_shs,middle_adoption_pct,middle_avoided_gwh,middle_tariff_r_kwh,middle_revenue_loss_m,low_hh_shs,low_adoption_pct,low_avoided_gwh,low_tariff_r_kwh,low_revenue_loss_m,total_avoided_gwh,total_revenue_loss_m,total_residential_revenue_m,pct_of_residential_revenue
2022,14975.0000,4.8400,15.5890,2.8926,45.0921,3282.0000,2.1800,4.3519,2.8926,12.5882,881.0000,0.5100,0.5145,1.7025,0.8759,20.4554,58.5562,9628.1333,0.6082
2023,22555.0000,7.2900,23.4798,3.1818,74.7083,4938.0000,3.2800,6.5478,3.1818,20.8339,1105.0000,0.6400,0.6453,1.8727,1.2085,30.6729,96.7507,10728.6290,0.9018
2024,22849.0000,7.2900,23.7858,3.5000,83.2503,5002.0000,3.2800,6.6327,3.5000,23.2143,1120.0000,0.6400,0.6541,2.0600,1.3474,31.0725,107.8120,11954.9112,0.9018
2025,32405.0000,10.2062,33.7336,3.8500,129.8744,8203.0000,5.3101,10.8772,3.8500,41.8771,3635.0000,2.0513,2.1228,2.2660,4.8104,46.7336,176.5619,13321.3576,1.3254
2026,43352.0000,13.4791,45.1294,4.2350,191.1231,11940.0000,7.6300,15.8324,4.2350,67.0504,6383.0000,3.5554,3.7277,2.4926,9.2916,64.6895,267.4651,14843.9888,1.8018
2027,55047.0000,16.8957,57.3039,4.6585,266.9503,16106.0000,10.1603,21.3566,4.6585,99.4895,9280.0000,5.1029,5.4195,2.7419,14.8596,84.0800,381.2994,16540.6567,2.3052
2028,66579.0000,20.1728,69.3087,5.1244,355.1622,20510.0000,12.7725,27.1963,5.1244,139.3632,12223.0000,6.6351,7.1382,3.0160,21.5292,103.6432,516.0546,18431.2537,2.7999
2029,77025.0000,23.0384,80.1830,5.6368,451.9745,24901.0000,15.3082,33.0187,5.6368,186.1195,15101.0000,8.0924,8.8190,3.3177,29.2583,122.0207,667.3522,20537.9460,3.2494
2030,85757.0000,25.3210,89.2730,6.2005,553.5342,29022.0000,17.6129,38.4832,6.2005,238.6135,17814.0000,9.4233,10.4034,3.6494,37.9662,138.1596,830.1140,22885.4333,3.6273
2031,92600.0000,26.9905,96.3966,6.8205,657.4740,32673.0000,19.5739,43.3244,6.8205,295.4945,20283.0000,10.5919,11.8453,4.0144,47.5512,151.5663,1000.5196,25501.2383,3.9234
2032,97757.0000,28.1279,101.7650,7.5026,763.4984,35749.0000,21.1420,47.4032,7.5026,355.6452,22465.0000,11.5808,13.1196,4.4158,57.9333,162.2878,1177.0768,28416.0298,4.1423
2033,101613.0000,28.8625,105.7791,8.2528,872.9758,38248.0000,22.3295,50.7168,8.2528,418.5569,24349.0000,12.3907,14.2198,4.8574,69.0709,170.7158,1360.6036,31663.9821,4.2970
2034,104564.0000,29.3194,108.8511,9.0781,988.1612,40238.0000,23.1896,53.3556,9.0781,484.3673,25949.0000,13.0355,15.1542,5.3431,80.9706,177.3609,1553.4992,35283.1752,4.4029
2035,106925.0000,29.5967,111.3089,9.9859,1111.5207,41818.0000,23.7913,55.4507,9.9859,553.7253,27297.0000,13.5370,15.9414,5.8774,93.6946,182.7010,1758.9406,39316.0421,4.4738
2036,108922.0000,29.7624,113.3878,10.9845,1245.5082,43093.0000,24.2018,57.1413,10.9845,627.6688,28434.0000,13.9198,16.6055,6.4652,107.3570,187.1346,1980.5340,43809.8657,4.5207
2037,110701.0000,29.8606,115.2397,12.0829,1392.4359,44149.0000,24.4768,58.5416,12.0829,707.3549,29399.0000,14.2077,17.1690,7.1117,122.1005,190.9503,2221.8913,48817.3334,4.5514
2038,112358.0000,29.9183,116.9647,13.2912,1554.6061,45056.0000,24.6588,59.7443,13.2912,794.0755,30230.0000,14.4217,17.6543,7.8228,138.1070,194.3633,2486.7886,54397.1546,4.5715
2039,113947.0000,29.9522,118.6188,14.6204,1734.2510,45862.0000,24.7782,60.8130,14.6204,889.1087,30958.0000,14.5795,18.0795,8.6051,155.5762,197.5113,2778.9359,60614.7494,4.5846
2040,115505.0000,29.9721,120.2407,16.0824,1933.7598,46605.0000,24.8562,61.7982,16.0824,993.8642,31609.0000,14.6951,18.4597,9.4656,174.7325,200.4986,3102.3565,67543.0152,4.5932
2041,117052.0000,29.9837,121.8511,17.6906,2155.6252,47307.0000,24.9068,62.7291,17.6906,1109.7180,32204.0000,14.7793,18.8071,10.4122,195.8238,203.3873,3461.1671,75263.1819,4.5988
2042,118600.0000,29.9905,123.4626,19.4597,2402.5465,47985.0000,24.9397,63.6281,19.4597,1238.1846,32758.0000,14.8405,19.1307,11.4534,219.1118,206.2214,3859.8429,83865.7636,4.6024
2043,120158.0000,29.9944,125.0845,21.4057,2677.5185,48650.0000,24.9610,64.5099,21.4057,1380.8784,33283.0000,14.8849,19.4373,12.5988,244.8858,209.0317,4303.2827,93451.6203,4.6048
2044,121729.0000,29.9967,126.7199,23.5462,2983.7782,49310.0000,24.9748,65.3851,23.5462,1539.5730,33788.0000,14.9170,19.7322,13.8586,273.4615,211.8371,4796.8127,104133.1405,4.6064
2045,123317.0000,29.9981,128.3730,25.9009,3324.9729,49969.0000,24.9837,66.2589,25.9009,1716.1633,34281.0000,14.9401,20.0201,15.2445,305.1968,214.6520,5346.3330,116035.5585,4.6075
2046,124924.0000,29.9989,130.0459,28.4910,3705.1324,50630.0000,24.9895,67.1354,28.4910,1912.7516,34765.0000,14.9569,20.3028,16.7690,340.4563,217.4840,5958.3403,129298.4228,4.6082
2047,126550.0000,29.9994,131.7386,31.3401,4128.6939,51296.0000,24.9932,68.0185,31.3401,2131.7036,35245.0000,14.9689,20.5831,18.4459,379.6727,220.3401,6640.0702,144077.2326,4.6087
2048,128196.0000,29.9996,133.4520,34.4741,4600.6341,51968.0000,24.9956,68.9096,34.4741,2375.5929,35724.0000,14.9776,20.8628,20.2904,423.3159,223.2244,7399.5429,160545.2602,4.6090
2049,129863.0000,29.9998,135.1874,37.9215,5126.5044,52647.0000,24.9972,69.8099,37.9215,2647.2949,36204.0000,14.9839,21.1431,22.3195,471.9041,226.1404,8245.7034,178895.5835,4.6092
2050,131552.0000,29.9999,136.9456,41.7136,5712.4978,53333.0000,24.9982,70.7196,41.7136,2949.9686,36686.0000,14.9884,21.4246,24.5514,526.0054,229.0898,9188.4718,199343.3487,4.6094
