scenario,year,sseg_mw,production_gwh,imports_gwh,unmet_gwh
BAU,2018,10.00,699.01,8866.94,-0.87
BAU,2019,18.00,753.05,8820.35,-3.17
BAU,2020,33.00,779.51,8294.37,-5.66
BAU,2021,60.00,988.95,8275.17,-6.55
BAU,2022,109.00,1106.58,8016.90,-7.44
BAU,2023,165.00,1167.90,7304.34,0.00
BAU,2024,231.00,1176.13,5986.42,849.56
BAU,2025,303.00,1703.55,6033.49,333.11
BAU,2026,377.00,1934.39,5805.64,388.70
BAU,2027,445.00,2191.31,5642.93,353.11
BAU,2028,505.00,2427.45,5726.66,91.40
BAU,2029,553.00,2741.43,5485.41,76.18
BAU,2030,590.00,3040.80,4899.62,419.47
BAU,2031,609.40,3369.80,4628.98,416.30
BAU,2032,628.80,3694.28,4612.99,163.42
BAU,2033,648.20,4023.28,4427.24,76.26
BAU,2034,667.60,4350.13,4326.37,-93.19
BAU,2035,687.00,4676.76,4395.27,-431.73
BAU,2036,697.80,4988.85,4178.87,-471.20
BAU,2037,708.60,5300.71,3899.22,-446.73
BAU,2038,719.40,5614.94,3617.05,-421.67
BAU,2039,730.20,5924.66,3339.25,-396.01
BAU,2040,741.00,6238.89,3056.80,-369.75
BAU,2041,751.20,6492.02,2873.45,-381.16
BAU,2042,761.40,6742.78,2692.89,-392.51
BAU,2043,771.60,6998.05,2508.23,-403.82
BAU,2044,781.80,7248.81,2328.50,-415.07
BAU,2045,792.00,7504.08,2144.68,-426.26
BAU,2046,802.60,7755.53,1965.84,-438.16
BAU,2047,813.20,8009.35,1785.07,-450.00
BAU,2048,823.80,8262.94,1604.96,-461.78
BAU,2049,834.40,8516.75,1425.05,-473.51
BAU,2050,845.00,8770.57,1245.59,-485.19
LMI,2018,10.00,699.01,8866.94,-0.87
LMI,2019,18.00,753.05,8820.35,-3.17
LMI,2020,33.00,779.51,8294.37,-5.66
LMI,2021,60.00,988.95,8275.17,-6.55
LMI,2022,110.00,1106.58,8016.90,-7.44
LMI,2023,165.00,1167.90,7304.34,0.00
LMI,2024,246.00,1201.89,5986.42,825.42
LMI,2025,339.00,1765.36,6033.49,275.09
LMI,2026,439.00,2040.84,5805.64,288.82
LMI,2027,539.00,2352.70,5642.93,201.52
LMI,2028,632.00,2645.50,5726.66,-113.33
LMI,2029,713.00,3016.14,5485.41,-181.84
LMI,2030,780.00,3367.02,4899.62,112.91
LMI,2031,814.80,3722.46,4628.98,84.75
LMI,2032,849.60,4073.39,4612.99,-193.09
LMI,2033,884.40,4428.82,4427.24,-305.20
LMI,2034,919.20,4782.12,4326.37,-499.58
LMI,2035,954.00,5135.19,4395.27,-863.02
LMI,2036,970.40,5456.89,4147.51,-880.38
LMI,2037,986.80,5778.36,3867.37,-864.66
LMI,2038,1003.20,6102.21,3584.71,-848.35
LMI,2039,1019.60,6421.54,3306.41,-831.42
LMI,2040,1036.00,6745.39,3023.45,-813.88
LMI,2041,1050.20,7005.39,2839.85,-831.68
LMI,2042,1064.40,7263.02,2659.02,-849.42
LMI,2043,1078.60,7525.16,2474.10,-867.11
LMI,2044,1092.80,7782.79,2294.10,-884.74
LMI,2045,1107.00,8044.92,2110.02,-902.31
LMI,2046,1122.00,8303.93,1930.95,-921.31
LMI,2047,1137.00,8565.30,1749.94,-940.26
LMI,2048,1152.00,8826.44,1569.59,-959.15
LMI,2049,1167.00,9087.81,1389.44,-977.98
LMI,2050,1182.00,9349.19,1209.74,-996.76
Pro-solar,2018,9.55,699.01,8866.94,-0.87
Pro-solar,2019,18.07,753.05,8820.35,-3.17
Pro-solar,2020,33.16,779.51,8294.37,-5.66
Pro-solar,2021,59.79,988.95,8275.17,-6.55
Pro-solar,2022,108.71,1106.58,8016.90,-7.44
Pro-solar,2023,165.05,1167.90,7304.34,0.00
Pro-solar,2024,230.95,1176.04,5986.42,849.65
Pro-solar,2025,350.94,1785.87,6033.49,256.77
Pro-solar,2026,480.68,2112.40,5805.64,223.93
Pro-solar,2027,611.14,2476.55,5642.93,89.15
Pro-solar,2028,732.66,2818.33,5726.66,-270.16
Pro-solar,2029,799.60,3164.82,5485.41,-313.99
Pro-solar,2030,843.15,3475.45,4899.62,18.52
Pro-solar,2031,875.75,3827.11,4628.98,-6.15
Pro-solar,2032,901.45,4162.41,4612.99,-269.60
Pro-solar,2033,922.99,4495.08,4427.24,-360.78
Pro-solar,2034,942.08,4821.40,4326.37,-530.38
Pro-solar,2035,959.73,5145.02,4395.27,-866.81
Pro-solar,2036,976.53,5467.41,4163.13,-900.64
Pro-solar,2037,993.86,5790.48,3882.50,-886.18
Pro-solar,2038,1011.04,6115.66,3599.44,-870.93
Pro-solar,2039,1027.94,6435.86,3320.85,-854.73
Pro-solar,2040,1044.63,6760.21,3037.70,-837.69
Pro-solar,2041,1061.18,7024.23,2853.63,-858.92
Pro-solar,2042,1077.42,7285.38,2672.42,-879.68
Pro-solar,2043,1093.58,7550.87,2487.20,-900.31
Pro-solar,2044,1109.69,7811.78,2306.98,-920.89
Pro-solar,2045,1125.78,8077.18,2122.73,-941.46
Pro-solar,2046,1141.89,8338.08,1943.47,-962.06
Pro-solar,2047,1158.04,8601.43,1762.32,-982.72
Pro-solar,2048,1174.25,8864.64,1581.86,-1003.46
Pro-solar,2049,1190.54,9128.23,1401.65,-1024.33
Pro-solar,2050,1206.92,9391.98,1221.90,-1045.34
Utility Protection,2018,9.55,699.01,8866.94,-0.87
Utility Protection,2019,18.06,753.05,8820.35,-3.17
Utility Protection,2020,33.02,779.51,8294.37,-5.66
Utility Protection,2021,59.83,988.95,8275.17,-6.55
Utility Protection,2022,108.64,1106.58,8016.90,-7.44
Utility Protection,2023,164.95,1167.90,7304.34,0.00
Utility Protection,2024,183.69,1094.90,5986.42,926.00
Utility Protection,2025,200.58,1527.69,6033.49,498.43
Utility Protection,2026,215.73,1657.50,5805.64,648.92
Utility Protection,2027,229.22,1820.82,5642.93,701.01
Utility Protection,2028,241.07,1974.30,5726.66,516.76
Utility Protection,2029,251.41,2223.60,5485.41,561.96
Utility Protection,2030,260.38,2474.86,4899.62,950.05
Utility Protection,2031,268.21,2791.56,4628.98,957.89
Utility Protection,2032,275.11,3122.45,4612.99,697.24
Utility Protection,2033,281.27,3458.34,4427.24,601.73
Utility Protection,2034,286.87,3792.59,4326.37,423.37
Utility Protection,2035,292.06,4127.13,4395.27,75.34
Utility Protection,2036,296.93,4462.44,4191.12,0.00
Utility Protection,2037,301.59,4798.08,3911.73,0.00
Utility Protection,2038,306.11,5136.65,3629.84,0.00
Utility Protection,2039,310.52,5471.30,3352.32,0.00
Utility Protection,2040,314.88,5811.04,3070.14,0.00
Utility Protection,2041,319.21,6052.29,2886.95,0.00
Utility Protection,2042,323.53,6291.22,2706.54,0.00
Utility Protection,2043,327.86,6534.70,2522.04,0.00
Utility Protection,2044,332.22,6773.72,2342.47,0.00
Utility Protection,2045,336.61,7017.30,2158.82,0.00
Utility Protection,2046,341.03,7256.42,1980.10,0.00
Utility Protection,2047,345.50,7497.95,1799.44,0.00
Utility Protection,2048,350.02,7739.30,1619.45,0.00
Utility Protection,2049,354.59,7980.94,1439.67,0.00
Utility Protection,2050,359.22,8222.63,1260.32,0.00
