Year,BAU_SSEG_MW,BAU_Unmet_GWh,LMI_SSEG_MW,LMI_Unmet_GWh,Pro-solar_SSEG_MW,Pro-solar_Unmet_GWh,Utility Protection_SSEG_MW,Utility Protection_Unmet_GWh
2018,10,-0.87,10,-0.87,19.6,0,19.6,0
2019,18,-3.17,18,-3.17,27.5,-3.24,27.5,-3.24
2020,33,-5.66,33,-5.66,38.3,-25.12,38.3,-25.12
2021,60,-6.55,60,-6.55,52.4,-38.59,52.4,-38.59
2022,109,-7.44,110,-7.44,70.4,-47.02,70.4,-47.02
2023,165,0,165,0,92.5,-59.6,92.5,-59.6
2024,231,849.56,246,825.42,118.3,1546.01,118.3,1743.9
2025,303,333.11,339,275.09,148.2,1042.18,121.6,1313.12
2026,377,388.7,439,288.82,181.8,1110.18,124.8,1445.07
2027,445,353.11,539,201.52,219.6,1079.52,127.7,1473.43
2028,505,91.4,632,-113.33,262.6,817.39,130.6,1261.13
2029,553,76.18,713,-181.84,309.2,791.76,133.4,1274.92
2030,590,419.47,780,112.91,361.8,1116.74,136.3,1629.58
2031,609.4,416.3,814.8,84.75,421.8,1085.43,139.3,1611.17
2032,628.8,163.42,849.6,-193.09,490.3,807.32,142.7,1345.88
2033,648.2,76.26,884.4,-305.2,567.7,699.06,146.3,1250.2
2034,667.6,-93.19,919.2,-499.58,653.4,513.44,150.3,1076.71
2035,687,-431.73,954,-863.02,745.0,163.97,154.8,738.52
2036,697.8,-471.2,970.4,-880.38,839.2,0,159.7,517.34
2037,708.6,-446.73,986.8,-864.66,933.2,0,165.2,382.8
2038,719.4,-421.67,1003.2,-848.35,1023.6,0,171.4,331.8
2039,730.2,-396.01,1019.6,-831.42,1108.6,0,178.3,209.74
2040,741,-369.75,1036,-813.88,1186.8,0,186.1,66.07
2041,751.2,-381.16,1050.2,-831.68,1257.3,0,194.9,53.51
2042,761.4,-392.51,1064.4,-849.42,1319.3,0,204.8,46.09
2043,771.6,-403.82,1078.6,-867.11,1372.5,0,215.9,0
2044,781.8,-415.07,1092.8,-884.74,1417.6,0,228.4,0
2045,792,-426.26,1107,-902.31,1455.5,0,242.3,0
2046,802.6,-438.16,1122.0,-921.31,1487.5,0,257.8,0
2047,813.2,-450.0,1137.0,-940.26,1506.4,0,275.1,0
2048,823.8,-461.78,1152.0,-959.15,1522.9,0,294.2,0
2049,834.4,-473.51,1167.0,-977.98,1537.1,0,315.4,0
2050,845,-485.19,1182,-996.76,1551.4,0,338.7,0
