Year,HI_Adoption_%,HI_HH_with_SHS,HI_Capacity_MW,MI_Adoption_%,MI_HH_with_SHS,MI_Capacity_MW,LI_Adoption_%,LI_HH_with_SHS,LI_Capacity_MW,Total_HH_with_SHS,Total_Residential_Capacity_MW
2018,2.4600,2610,20.88,0.0900,109,0.54,0.0000,0,0.00,2718,21.42
2019,3.5000,4225,33.80,0.1000,134,0.67,0.0000,0,0.00,4360,34.48
2020,4.7000,6668,53.34,0.1200,183,0.92,0.0000,0,0.00,6851,54.26
2021,5.8000,8219,65.75,0.1400,213,1.07,0.0000,0,0.00,8433,66.82
2022,6.8000,10003,80.03,0.1600,252,1.26,0.0000,0,0.00,10256,81.29
2023,8.0000,12699,101.60,0.1800,302,1.51,0.0000,0,0.00,13002,103.11
2024,8.0000,12865,102.92,0.1800,306,1.53,0.0000,0,0.00,13171,104.45
2025,10.8245,17633,141.06,1.2409,2140,10.70,1.0146,3196,9.59,22969,161.35
2026,13.9725,23057,184.45,2.5589,4470,22.35,2.1402,6830,20.49,34357,227.29
2027,17.2428,28823,230.58,4.1587,7359,36.79,3.3587,10858,32.57,47039,299.95
2028,20.3742,34500,276.00,6.0445,10835,54.17,4.6413,15199,45.60,60534,375.77
2029,23.1188,39657,317.25,8.1887,14869,74.35,5.9509,19741,59.22,74267,450.82
2030,25.3200,43997,351.98,10.5229,19356,96.78,7.2451,24347,73.04,87700,521.80
2031,26.9476,47434,379.47,12.9385,24109,120.54,8.4813,28872,86.62,100414,586.63
2032,28.0721,50056,400.45,15.3007,28881,144.40,9.6225,33182,99.55,112119,644.40
2033,28.8098,52039,416.31,17.4752,33414,167.07,10.6417,37174,111.52,122627,694.90
2034,29.2763,53569,428.55,19.3585,37496,187.48,11.5239,40779,122.34,131845,738.37
2035,29.5643,54799,438.39,20.8980,41004,205.02,12.2664,43971,131.91,139775,775.33
2036,29.7392,55840,446.72,22.0932,43913,219.57,12.8761,46756,140.27,146510,806.56
2037,29.8445,56766,454.13,22.9818,46273,231.37,13.3661,49167,147.50,152206,833.00
2038,29.9075,57626,461.01,23.6203,48177,240.88,13.7533,51249,153.75,157051,855.64
2039,29.9450,58448,467.59,24.0673,49727,248.63,14.0548,53053,159.16,161228,875.38
2040,29.9674,59252,474.02,24.3746,51016,255.08,14.2870,54631,163.89,164899,892.99
2041,29.9806,60049,480.39,24.5829,52121,260.61,14.4642,56028,168.08,168198,909.08
2042,29.9885,60846,486.76,24.7229,53100,265.50,14.5986,57283,171.85,171228,924.11
2043,29.9932,61646,493.17,24.8163,53993,269.97,14.7000,58431,175.29,174070,938.43
2044,29.9960,62453,499.63,24.8785,54832,274.16,14.7762,59497,178.49,176782,952.28
2045,29.9976,63269,506.15,24.9197,55637,278.18,14.8332,60503,181.51,179409,965.84
2046,29.9986,64093,512.75,24.9470,56422,282.11,14.8758,61466,184.40,181981,979.25
2047,29.9992,64928,519.42,24.9650,57197,285.98,14.9076,62398,187.19,184522,992.60
2048,29.9995,65773,526.18,24.9769,57968,289.84,14.9313,63310,189.93,187050,1005.95
2049,29.9997,66628,533.02,24.9848,58740,293.70,14.9489,64208,192.63,189576,1019.35
2050,29.9998,67494,539.96,24.9899,59516,297.58,14.9621,65100,195.30,192111,1032.84
