Year,HI_Adoption_%,HI_HH_with_SHS,HI_Capacity_MW,MI_Adoption_%,MI_HH_with_SHS,MI_Capacity_MW,LI_Adoption_%,LI_HH_with_SHS,LI_Capacity_MW,Total_HH_with_SHS,Total_Residential_Capacity_MW
2018,0.5000,1450,7.12,0.1000,141,0.52,0.0000,0,0.00,1591,7.64
2019,0.8819,2591,12.72,0.2161,309,1.13,0.1275,209,0.59,3109,14.45
2020,1.5556,4630,22.73,0.4669,676,2.47,0.2550,424,1.20,5730,26.41
2021,2.7440,8273,40.62,1.0089,1480,5.42,0.3825,644,1.83,10397,47.87
2022,4.8400,14975,73.53,2.1800,3282,12.01,0.5100,881,2.50,19137,88.04
2023,7.2900,22555,110.75,3.2800,4938,18.07,0.6400,1105,3.14,28598,131.96
2024,10.2062,31989,157.06,5.3101,8097,29.64,2.0513,3589,10.19,43675,196.89
2025,13.4791,42796,210.13,7.6300,11786,43.14,3.5554,6301,17.89,60883,271.16
2026,16.8957,54341,266.81,10.1603,15899,58.19,5.1029,9161,26.02,79401,351.02
2027,20.1728,65725,322.71,12.7725,20246,74.10,6.6351,12066,34.27,98037,431.08
2028,23.0384,76036,373.34,15.3082,24581,89.97,8.0924,14908,42.34,115525,505.64
2029,25.3210,84657,415.66,17.6129,28650,104.86,9.4233,17585,49.94,130892,570.46
2030,26.9905,91411,448.83,19.5739,32254,118.05,10.5919,20023,56.86,143688,623.74
2031,28.1279,96502,473.83,21.1420,35290,129.16,11.5808,22177,62.98,153969,665.97
2032,28.8625,100309,492.52,22.3295,37757,138.19,12.3907,24036,68.26,162103,698.97
2033,29.3194,103222,506.82,23.1896,39721,145.38,13.0355,25616,72.75,168559,724.95
2034,29.5967,105553,518.26,23.7913,41282,151.09,13.5370,26947,76.53,173782,745.89
2035,29.7624,107524,527.94,24.2018,42540,155.70,13.9198,28069,79.72,178133,763.35
2036,29.8606,109281,536.57,24.4768,43582,159.51,14.2077,29022,82.42,181885,778.50
2037,29.9183,110916,544.60,24.6588,44477,162.79,14.4217,29842,84.75,185235,792.14
2038,29.9522,112485,552.30,24.7782,45274,165.70,14.5795,30561,86.79,188320,804.80
2039,29.9721,114023,559.85,24.8562,46007,168.38,14.6951,31204,88.62,191233,816.85
2040,29.9837,115550,567.35,24.9068,46700,170.92,14.7793,31791,90.29,194040,828.56
2041,29.9905,117078,574.85,24.9397,47369,173.37,14.8405,32337,91.84,196785,840.06
2042,29.9944,118616,582.40,24.9610,48026,175.78,14.8849,32856,93.31,199498,851.49
2043,29.9967,120167,590.02,24.9748,48677,178.16,14.9170,33355,94.73,202199,862.91
2044,29.9981,121735,597.72,24.9837,49328,180.54,14.9401,33841,96.11,204903,874.36
2045,29.9989,123321,605.50,24.9895,49980,182.93,14.9569,34319,97.47,207620,885.90
2046,29.9994,124926,613.39,24.9932,50638,185.33,14.9689,34793,98.81,210357,897.53
2047,29.9996,126551,621.37,24.9956,51301,187.76,14.9776,35266,100.16,213118,909.28
2048,29.9998,128197,629.45,24.9972,51971,190.21,14.9839,35739,101.50,215907,921.16
2049,29.9999,129864,637.63,24.9982,52649,192.69,14.9884,36215,102.85,218727,933.18
2050,29.9999,131552,645.92,24.9988,53335,195.20,14.9916,36694,104.21,221580,945.34
