year,high_hh_shs,high_adoption_pct,high_avoided_gwh,high_tariff_r_kwh,high_revenue_loss_m,middle_hh_shs,middle_adoption_pct,middle_avoided_gwh,middle_tariff_r_kwh,middle_revenue_loss_m,low_hh_shs,low_adoption_pct,low_avoided_gwh,low_tariff_r_kwh,low_revenue_loss_m,total_avoided_gwh,total_revenue_loss_m,total_residential_revenue_m,pct_of_residential_revenue
2020,4630.0000,1.5556,4.8198,2.3905,11.5220,676.0000,0.4669,0.8964,2.3905,2.1428,424.0000,0.2550,0.2476,1.4070,0.3484,5.9638,14.0133,7754.2149,0.1807
2021,8273.0000,2.7440,8.6122,2.6296,22.6466,1480.0000,1.0089,1.9625,2.6296,5.1605,644.0000,0.3825,0.3761,1.5477,0.5821,10.9508,28.3893,8640.5217,0.3286
2022,14975.0000,4.8400,15.5890,2.8926,45.0921,3282.0000,2.1800,4.3519,2.8926,12.5882,881.0000,0.5100,0.5145,1.7025,0.8759,20.4554,58.5562,9628.1333,0.6082
2023,22555.0000,7.2900,23.4798,3.1818,74.7083,4938.0000,3.2800,6.5478,3.1818,20.8339,1105.0000,0.6400,0.6453,1.8727,1.2085,30.6729,96.7507,10728.6290,0.9018
2024,31989.0000,10.2062,33.3005,3.5000,116.5519,8097.0000,5.3101,10.7366,3.5000,37.5782,3589.0000,2.0513,2.0960,2.0600,4.3177,46.1331,158.4478,11954.9112,1.3254
2025,42796.0000,13.4791,44.5506,3.8500,171.5199,11786.0000,7.6300,15.6282,3.8500,60.1687,6301.0000,3.5554,3.6798,2.2660,8.3384,63.8587,240.0270,13321.3576,1.8018
2026,54341.0000,16.8957,56.5690,4.2350,239.5696,15899.0000,10.1603,21.0821,4.2350,89.2826,9161.0000,5.1029,5.3500,2.4926,13.3355,83.0011,342.1877,14843.9888,2.3052
2027,65725.0000,20.1728,68.4197,4.6585,318.7333,20246.0000,12.7725,26.8462,4.6585,125.0630,12066.0000,6.6351,7.0465,2.7419,19.3206,102.3125,463.1169,16540.6567,2.7999
2028,76036.0000,23.0384,79.1535,5.1244,405.6101,24581.0000,15.3082,32.5944,5.1244,167.0251,14908.0000,8.0924,8.7063,3.0160,26.2585,120.4542,598.8938,18431.2537,3.2493
2029,84657.0000,25.3210,88.1279,5.6368,496.7582,28650.0000,17.6129,37.9899,5.6368,214.1409,17585.0000,9.4233,10.2696,3.3177,34.0711,136.3875,744.9702,20537.9460,3.6273
2030,91411.0000,26.9905,95.1589,6.2005,590.0290,32254.0000,19.5739,42.7688,6.2005,265.1864,20023.0000,10.5919,11.6934,3.6494,42.6742,149.6211,897.8896,22885.4333,3.9234
2031,96502.0000,28.1279,100.4586,6.8205,685.1787,35290.0000,21.1420,46.7945,6.8205,319.1626,22177.0000,11.5808,12.9514,4.0144,51.9914,160.2045,1056.3328,25501.2383,4.1423
2032,100309.0000,28.8625,104.4217,7.5026,783.4299,37757.0000,22.3295,50.0658,7.5026,375.6216,24036.0000,12.3907,14.0370,4.4158,61.9846,168.5245,1221.0361,28416.0298,4.2970
2033,103222.0000,29.3194,107.4541,8.2528,886.7990,39721.0000,23.1896,52.6700,8.2528,434.6762,25616.0000,13.0355,14.9597,4.8574,72.6650,175.0839,1394.1403,31663.9821,4.4029
2034,105553.0000,29.5967,109.8807,9.0781,997.5076,41282.0000,23.7913,54.7399,9.0781,496.9345,26947.0000,13.5370,15.7370,5.3431,84.0848,180.3577,1578.5269,35283.1752,4.4739
2035,107524.0000,29.7624,111.9325,9.9859,1117.7475,42540.0000,24.2018,56.4080,9.9859,563.2855,28069.0000,13.9198,16.3923,5.8774,96.3444,184.7328,1777.3775,39316.0421,4.5207
2036,109281.0000,29.8606,113.7615,10.9845,1249.6133,43582.0000,24.4768,57.7897,10.9845,634.7913,29022.0000,14.2077,16.9488,6.4652,109.5771,188.5001,1993.9817,43809.8657,4.5514
2037,110916.0000,29.9183,115.4636,12.0829,1395.1403,44477.0000,24.6588,58.9765,12.0829,712.6101,29842.0000,14.4217,17.4277,7.1117,123.9404,191.8678,2231.6908,48817.3334,4.5715
2038,112485.0000,29.9522,117.0969,13.2912,1556.3633,45274.0000,24.7782,60.0333,13.2912,797.9176,30561.0000,14.5795,17.8476,7.8228,139.6192,194.9778,2493.9001,54397.1546,4.5846
2039,114023.0000,29.9721,118.6979,14.6204,1735.4077,46007.0000,24.8562,61.0053,14.6204,891.9197,31204.0000,14.6951,18.2231,8.6051,156.8125,197.9264,2784.1399,60614.7494,4.5932
2040,115550.0000,29.9837,120.2875,16.0824,1934.5131,46700.0000,24.9068,61.9242,16.0824,995.8901,31791.0000,14.7793,18.5659,9.4656,175.7386,200.7777,3106.1419,67543.0152,4.5988
2041,117078.0000,29.9905,121.8782,17.6906,2156.1041,47369.0000,24.9397,62.8113,17.6906,1111.1724,32337.0000,14.8405,18.8848,10.4122,196.6326,203.5743,3463.9090,75263.1819,4.6024
2042,118616.0000,29.9944,123.4793,19.4597,2402.8706,48026.0000,24.9610,63.6825,19.4597,1239.2426,32856.0000,14.8849,19.1879,11.4534,219.7673,206.3496,3861.8804,83865.7636,4.6048
2043,120167.0000,29.9967,125.0938,21.4057,2677.7191,48677.0000,24.9748,64.5457,21.4057,1381.6447,33355.0000,14.9170,19.4793,12.5988,245.4155,209.1189,4304.7793,93451.6203,4.6064
2044,121735.0000,29.9981,126.7261,23.5462,2983.9252,49328.0000,24.9837,65.4089,23.5462,1540.1350,33841.0000,14.9401,19.7631,13.8586,273.8905,211.8982,4797.9507,104133.1405,4.6075
2045,123321.0000,29.9989,128.3772,25.9009,3325.0808,49980.0000,24.9895,66.2735,25.9009,1716.5411,34319.0000,14.9569,20.0423,15.2445,305.5351,214.6929,5347.1570,116035.5585,4.6082
2046,124926.0000,29.9994,130.0480,28.4910,3705.1917,50638.0000,24.9932,67.1460,28.4910,1913.0538,34793.0000,14.9689,20.3191,16.7690,340.7305,217.5131,5958.9760,129298.4228,4.6087
2047,126551.0000,29.9996,131.7396,31.3401,4128.7265,51301.0000,24.9956,68.0251,31.3401,2131.9114,35266.0000,14.9776,20.5953,18.4459,379.8989,220.3601,6640.5368,144077.2326,4.6090
2048,128197.0000,29.9998,133.4531,34.4741,4600.6700,51971.0000,24.9972,68.9135,34.4741,2375.7300,35739.0000,14.9839,20.8716,20.2904,423.4937,223.2382,7399.8936,160545.2602,4.6092
2049,129864.0000,29.9999,135.1884,37.9215,5126.5439,52649.0000,24.9982,69.8126,37.9215,2647.3955,36215.0000,14.9884,21.1496,22.3195,472.0475,226.1506,8245.9868,178895.5835,4.6094
2050,131552.0000,29.9999,136.9456,41.7136,5712.4978,53335.0000,24.9988,70.7222,41.7136,2950.0792,36694.0000,14.9916,21.4293,24.5514,526.1202,229.0971,9188.6972,199343.3487,4.6095
