Year,BAU_SSEG_MW,BAU_Unmet_GWh,LMI_SSEG_MW,LMI_Unmet_GWh,Pro-solar_SSEG_MW,Pro-solar_Unmet_GWh,Utility Protection_SSEG_MW,Utility Protection_Unmet_GWh
2018,10,-0.87,10,-0.87,9.5,-0.87,9.6,-0.87
2019,18,-3.17,18,-3.17,18.1,-3.17,18.1,-3.17
2020,33,-5.66,33,-5.66,33.2,-5.66,33.0,-5.66
2021,60,-6.55,60,-6.55,59.8,-6.55,59.8,-6.55
2022,109,-7.44,110,-7.44,108.7,-7.44,108.6,-7.44
2023,165,0,165,0,165.1,0,164.9,0
2024,231,849.56,246,825.42,230.9,952.34,183.7,1028.7
2025,303,333.11,339,275.09,350.9,619.69,200.6,861.35
2026,377,388.7,439,288.82,480.7,367.6,215.7,792.59
2027,445,353.11,539,201.52,611.1,117.23,229.2,729.09
2028,505,91.4,632,-113.33,732.7,-120.41,241.1,666.51
2029,553,76.18,713,-181.84,799.6,-269.34,251.4,606.61
2030,590,419.47,780,112.91,843.2,-381.95,260.4,549.58
2031,609.4,416.3,814.8,84.75,875.8,-490.83,268.2,480.79
2032,628.8,163.42,849.6,-193.09,901.4,-588.34,275.1,413.95
2033,648.2,76.26,884.4,-305.2,923.0,-678.83,281.3,348.74
2034,667.6,-93.19,919.2,-499.58,942.1,-765.01,286.9,284.89
2035,687,-431.73,954,-863.02,959.7,-848.47,292.1,222.15
2036,697.8,-471.2,970.4,-880.38,976.5,-930.14,296.9,160.36
2037,708.6,-446.73,986.8,-864.66,993.9,-1012.24,301.6,99.36
2038,719.4,-421.67,1003.2,-848.35,1011.0,-1093.6,306.1,39.06
2039,730.2,-396.01,1019.6,-831.42,1027.9,-1174.06,310.5,-20.65
2040,741,-369.75,1036,-813.88,1044.6,-1253.73,314.9,-79.8
2041,751.2,-381.16,1050.2,-831.68,1061.2,-1223.4,319.2,-29.17
2042,761.4,-392.51,1064.4,-849.42,1077.4,-1192.11,323.5,21.93
2043,771.6,-403.82,1078.6,-867.11,1093.6,-1160.2,327.9,73.48
2044,781.8,-415.07,1092.8,-884.74,1109.7,-1127.76,332.2,125.45
2045,792,-426.26,1107,-902.31,1125.8,-1094.81,336.6,177.85
2046,802.6,-438.16,1122.0,-921.31,1141.9,-1061.41,341.0,230.65
2047,813.2,-450.0,1137.0,-940.26,1158.0,-1027.6,345.5,283.86
2048,823.8,-461.78,1152.0,-959.15,1174.2,-993.41,350.0,337.47
2049,834.4,-473.51,1167.0,-977.98,1190.5,-958.87,354.6,391.48
2050,845,-485.19,1182,-996.76,1206.9,-924.0,359.2,445.89
